192.168.0.155 - - [13/Sep/2018:23:19:36 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:25:43 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
192.168.0.155 - - [13/Sep/2018:23:25:47 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:26:01 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:29:11 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:29:11 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:29:15 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:29:19 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:30:36 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:30:37 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:30:50 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 471
192.168.0.155 - - [13/Sep/2018:23:30:59 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
192.168.0.155 - - [13/Sep/2018:23:39:14 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:39:19 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:23:39:20 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:53:52 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:53:54 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:53:58 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
192.168.0.155 - - [13/Sep/2018:23:54:02 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:54:06 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 67
